ID,Bearbeiter,Active,quelle,titel_de,description_de,group,Dauer (Minuten),Schwerpunkt,Level,Anleitung,Material,Unnamed: 12
15.0,Michael,Ja,HOME,Deine Hood,"Malt als Kleingruppe einen personalisierten Plan vom Lagerplatz. Es geht dabei nicht darum Maßstäbe einzuhalten oder sich an vegebene Location-Namen zu erinnern. Finde heraus was eure Umgebung zu bieten hat - wo ist der beste Zugang zur Ager? Knman irgendwo sitzen udn Tiere beobachten? Wo findet sch zu jeder Uhrzeit ein schattiges Plätzchen und wo lässt es sich geheim knutschen? Wo kriegt man Kondome her? Zeichnet alles für euch wichtige, spannende, lustige... in eure Landkarte ein!", ,60,,3,,"A3 Papier, Stifte",
16.0,Michael,Ja,HOME,Der Pariser ,Findet fünf sinnvolle Alternative Einsatzmöglichkeiten für ein Kondom. , ,10,,1,,"Zettel, Stift",
17.0,Michael,,HOME,Diversity,Gestaltet mit einer anderen Kleingruppe ein Plakat zum Thema Diversity und hängt es am Marktplatz auf. Input bekommt ihr im Pices., ,60,,3,,"A3 Papier, Stifte, Infomaterial",Infomaterial
18.0,Michael,Archiv,HOME,Dodekaeder,Baut ein Dodekaeder aus Holz und Plastilin. Material bekommt ihr im DiscO., ,-,,1,,-,
19.0,Michael,Ja,HOME,Durchschnittsalter ,Finde das Durchschnittsalter am Lager heraus! , ,15,,1,,-,
20.0,Michael,Ja,TOGETHER,Durchschnittsgröße,Finde die Durchschnittsgröße am Lager heraus!,,15,,1,,-,
21.0,Michael,Archiv,HOME,Escape the tent,Anmeldung beim escape the tent Team, ,30-45,,3,,-,
22.0,Michael,Ja,HOME,Flussquerung I,"Überquere die Ager/ alle müssen queren, mind. 1 darf das Wasser nicht berühren (bestehende Brücken dürfen nicht genutzt werden).", ,60,,2,,-,
23.0,Michael,Ja,TOGETHER,Flussquerung II,Stelle der Querung wird von uns vorgegeben (Breite und Tiefe erfordert Material), ,90,,3,,"Seil, Brett, Kanister, Ball, Plastikplane, (ein Kondom)",
24.0,Michael,Ja,HOME,Fotolovestory NOT,"Nessi, Messi, Sassi, Po und ihre Freunde gehen auf Reisen! Helf ihnen gmeinsam mit euch den Lagerplatz zu entdecken und diese Reise dabei mit einer Fotolovestory zu verewigen.", ,60-90,,2,,evtl. Verkleidungen o. Fotorequisiten,
25.0,Andreas,,HOME,Foto-Wand Challenge ,"Am Marktplatz werden ab Tag 1 Fotos von einzelnen Lagerteilnehmerinnen aufgehängt. Finde eine dieser dir unbekannten Personen, mach ein Foto mit ihr und dem ausgestellten Bild und lass euer Foto bei DiskQ ausdrucken und aufhängen.", ,bis 120,,1,,"Fotos Lagerteilnehmer,, Drucker?",
26.0,Andreas,,HOME,Fotowandchallenge 3.0,"Am Marktplatz werden ab Tag 3 Fotos von mehreren LagerteilnehmerInnen aufgehängt. Finde mind. 10 dieser dir unbekannten Personen von einem Foto, mach ein Foto mit ihnen und dem ausgestellten Bild und lass euer Foto beim DiscO ausdrucken und aufhängen.", ,bis 180,,3,,"Fotos Lagerteilnehmer, Drucker?",
27.0,Andreas,,HOME,Friedenskonferenz,Ihr beschäftigt euch mit Konfliken und deren Beilegung und tauscht euch dazu aus. Anleitung und Material bei Pieces., ,60,,3,,?,
